Afghanistan|Kabul,Herat
Uruguay|Montevideo,Durazno,Rivera,Punta del Este,Maldonado,Tacuarembo,Paso De Los Toros,Carmelo,Colonia,Artigas,Paysandu,Rocha,Salto
Uzbekistan|Tashkent,Urgench,Samarkand,Bukhara
Venezuela|Santa Rosa,Lagunillas,Cumarebo,Caracas,Punta Cardon,Turmero,El Junquito,El Palito,El Tigrito,Valera,Punto Fijo,Ocumare Del Tuy,San Antonio Del Tachira,Maiquetia,Anaco,Altagracia De Orituco,Chivacoa,Macuto,Puerto Ordaz,Tia Juana,Acarigua,Bachaquero,Urena,Caraballeda,Barquisimeto,Coro,El Tocuyo,San Casimiro,Piedra Azul,Carupano,San Fernando de Apure,Quibor,Porlamar,San Juan de Los Morros,Guanare,Santa Rita,Los Teques,Yaritagua,Merida,Carora,San Antonio,Mucuchies,Tocuyito,Valencia,Cua,Tariba,Zaraza,Apartaderos,Puertp Ordaz,Ciudad Ojeda,Bocono,Ejido,Maracay,Catia La Mar,Santa Barbara,El Callao,Colon,Punta de Piedras,San Fernando,Michelena,San Felipe,Puerto Piritu,Judibana,Araure,Calabozo,La Asuncion,La Fria,San Cristobal,Puerto Escondido,Piritu,El Sombrero,Barinas,Charallave,Caripe,Capacho,Punta de Mata,Valle De La Pascua,Margarita,Pampatar,Agua Blanca,Las Morochas,Turen,San Carlos,Rubio,Bruzual,Tucupita,Carrizales,San Sebastian,Machiques,Cabudare,Amuay,Mantecal,Elorza,Tamare,Puerto la Cruz,Maturin,La Guaira,Upata,Las Piedras,Tinaquillo,Trujillo,Camatagua,San Diego,Achaguas,El Vigia,San Mateo,Maracaibo,Puerto Ayacucho,San Felix,Guasdualito,Bejuma
Vietnam|Ho Chi Minh City,Bien Hoa,Hue,Hanoi
Virgin Islands|Charlotte Amalie,Cruz Bay,Christiansted
Yemen|Sanaa,Ibb,Mukalla
Yugoslavia|Nis,Pristina,Ada,Bar,Novi Sad,Budva,Belgrade,Senta,Leskovac,Zrenjanin,Obrenovac,Barajevo,Subotica,Kula,Kolasin,Kisac,Vrsac,Pancevo,Zemun,Topola,Sombor,Kosovo Polje,Podgorica,Jagodina
Zambia|Lusaka,Kitwe
Zimbabwe|Kwekwe,Victoria Falls,Mutare,chitungwiza,Harare,Kadoma,Marondera,Gweru,Chinhoyi
|Hebron,Gaza City
